iter	Accuracy	Logloss
0	0.8420436582	0.5873116633
1	0.8426952734	0.5324938539
2	0.8484753412	0.4992992212
3	0.8463998262	0.4547994718
4	0.8509369985	0.4318945291
5	0.8621351257	0.3946572223
6	0.8637520966	0.370713968
7	0.8711008676	0.3415499464
8	0.8759155796	0.3202633637
9	0.8788599148	0.3044487467
10	0.8857260079	0.2925289866
11	0.8938470635	0.2834560197
12	0.896936202	0.2739987848
13	0.8978170892	0.2686106685
14	0.899928805	0.2639097775
15	0.9011475667	0.2598647689
16	0.9020646547	0.2526003705
17	0.9022094581	0.2479909279
18	0.9025835334	0.2443791848
19	0.904067768	0.2406272443
20	0.9051658602	0.2376750872
21	0.907953325	0.2331880064
22	0.9101374425	0.2295907724
23	0.9112717356	0.2254112115
24	0.9121405558	0.2231971575
25	0.9136368573	0.2178178274
26	0.9147228826	0.2159705589
27	0.9154106986	0.2144977211
28	0.9163277866	0.2124072641
29	0.9166053264	0.2102923849
30	0.9170156026	0.2083253734
31	0.9181016278	0.2055134753
32	0.9186205066	0.2045401483
33	0.9184395024	0.2032776658
34	0.9198634022	0.1988534919
35	0.9202616114	0.196417764
36	0.9210218291	0.1935221172
37	0.9216734443	0.1916012797
38	0.9233266161	0.187775651
39	0.9249797879	0.1838238784
40	0.9260416792	0.1808197315
41	0.9268139639	0.1780275189
42	0.9280809934	0.1756560492
43	0.9285033365	0.1745039157
44	0.9287567424	0.1736130009
45	0.9299151694	0.1697920521
46	0.9301927092	0.1687043953
47	0.9308925921	0.1669687445
48	0.9313270022	0.1656492852
49	0.9330525757	0.1632293563
