iter	Passed	Remaining
0	189	9264
1	353	8475
2	493	7724
3	600	6909
4	693	6242
5	793	5816
6	886	5448
7	981	5151
8	1077	4907
9	1174	4696
10	1249	4428
11	1324	4192
12	1400	3986
13	1474	3791
14	1549	3616
15	1626	3455
16	1705	3310
17	1779	3163
18	1874	3058
19	1972	2958
20	2055	2839
21	2135	2718
22	2213	2598
23	2288	2479
24	2357	2357
25	2434	2247
26	2511	2139
27	2583	2030
28	2659	1925
29	2733	1822
30	2808	1721
31	2914	1639
32	2989	1539
33	3070	1444
34	3151	1350
35	3258	1267
36	3329	1169
37	3423	1081
38	3498	986
39	3606	901
40	3700	812
41	3782	720
42	3880	631
43	3956	539
44	4030	447
45	4106	357
46	4184	267
47	4261	177
48	4337	88
49	4416	0
